ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year
AWC,EQY,ALUMINA LIMITED                                             ,ORDINARY            ,1.92,20170630,2017
AWE,EQY,AWE LIMITED                                                 ,ORDINARY            ,0.445,20170630,2017
AWN,EQY,AROWANA INTERNATIONAL LIMITED                               ,ORDINARY            ,0.53,20170630,2017
AWQ,EQY,AROWANA AUSTRALASIAN VALUE OPPORTUNITIES FUND LIMITED       ,ORDINARY            ,0.9,20170629,2017
AWV,EQY,ANOVA METALS LIMITED                                        ,ORDINARY            ,0.08,20170630,2017
AWY,EQY,AUSTRALIAN WHISKY HOLDINGS LIMITED                          ,ORDINARY            ,0.028,20170622,2017
AXE,EQY,ARCHER EXPLORATION LIMITED                                  ,ORDINARY            ,0.036,20170630,2017
AXI,EQY,AXIOM PROPERTIES LIMITED                                    ,ORDINARY            ,0.048,20170628,2017
AXL,EQY,AXSESSTODAY LIMITED                                         ,ORDINARY            ,1.42,20170630,2017
AXP,EQY,"AIRXPANDERS, INC.                                           ",CDI 1:3 USPROHIBITED,0.645,20170630,2017
AXT,EQY,ARGO EXPLORATION LIMITED                                    ,ORDINARY            ,0.021,20170630,2017
AYA,EQY,ATTILA RESOURCES LIMITED                                    ,ORDINARY            ,0.195,20160601,2017
AYD,EQY,AUSTRALIAN MASTERS YIELD FUND NO 1 LIMITED                  ,ORDINARY            ,1.57,20170626,2017
AYF,EQY,AUSTRALIAN ENHANCED INCOME FUND                             ,UNITS               ,6.15,20170630,2017
AYH,EQY,AUSTRALIAN MASTERS YIELD FUND NO 2 LIMITED                  ,ORDINARY            ,1.56,20170615,2017
AYI,EQY,A1 INVESTMENTS & RESOURCES LTD                              ,ORDINARY            ,0.001,20170321,2017
AYJ,EQY,AUSTRALIAN MASTERS YIELD FUND NO 3 LIMITED                  ,ORDINARY            ,19.5,20170629,2017
AYK,EQY,AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED                  ,ORDINARY            ,46.29,20170629,2017
AYM,EQY,AUSTRALIA UNITED MINING LIMITED                             ,ORDINARY            ,0.002,20170630,2017
AYR,EQY,ALLOY RESOURCES LIMITED                                     ,ORDINARY            ,0.003,20170630,2017
